60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
60,1
240,0
